,season,player,league,position,age
1108,1901-1902,Sam Raybould,16,Striker,26.6
1109,1901-1902,Andy McGuigan,9,Striker,23.9
1110,1901-1902,Tommy Robertson,5,Right-winger,25.0
1111,1901-1902,Jack Cox,4,Midfielder,24.0
1112,1901-1902,Arthur Goddard,2,Midfielder,23.6
1113,1901-1902,Charlie Satterthwaite,2,Striker,24.8
1114,1901-1902,John Hunter,1,Striker,23.8
1115,1901-1902,George Fleming,1,Defender,32.6
1116,1901-1902,Johnny Walker,1,Striker,27.6
1117,1901-1902,Bill White,1,Striker,25.0
1118,1900-1901,Sam Raybould,17,Striker,25.6
1119,1900-1901,Jack Cox,10,Midfielder,23.0
1120,1900-1901,Tommy Robertson,9,Right-winger,24.0
1121,1900-1901,Johnny Walker,6,Striker,26.6
1122,1900-1901,Charlie Satterthwaite,5,Striker,23.8
1123,1900-1901,Andy McGuigan,5,Striker,22.9
1124,1900-1901,John Hunter,3,Striker,22.8
1125,1900-1901,Bill Goldie,2,Defender,23.0
1126,1900-1901,Alex Raisbeck,1,Defender,21.0
1127,1900-1901,Charlie Wilson,1,Defender,23.9
1128,1899-1900,Johnny Walker,10,Striker,25.6
1129,1899-1900,Tommy Robertson,9,Right-winger,23.0
1130,1899-1900,Sam Raybould,7,Striker,24.6
1131,1899-1900,Charlie Satterthwaite,6,Striker,22.8
1132,1899-1900,Jack Cox,5,Midfielder,22.0
1133,1899-1900,John Hunter,5,Striker,21.8
1134,1899-1900,Hugh Morgan,3,Striker,25.4
1135,1899-1900,Alex Raisbeck,3,Defender,20.0
1136,1899-1900,Bill Goldie,1,Defender,22.0
1137,1898-1899,Hugh Morgan,10,Striker,24.4
1138,1898-1899,Johnny Walker,10,Striker,24.6
1139,1898-1899,George Allan,8,Striker,23.4
1140,1898-1899,Tommy Robertson,7,Right-winger,22.0
1141,1898-1899,Jack Cox,5,Midfielder,21.0
1142,1898-1899,Andrew McCowie,5,Striker,24.0
1143,1898-1899,Bill Goldie,2,Defender,21.0
1144,1898-1899,Alex Raisbeck,1,Defender,19.0
1145,1897-1898,Frank Becton,11,Striker,24.2
1146,1897-1898,Andrew McCowie,6,Striker,23.0
1147,1897-1898,Daniel Cunliffe,5,Striker,22.6
1148,1897-1898,Harry Bradshaw,4,Midfielder,24.4
1149,1897-1898,William Walker,3,Striker,26.5
1150,1897-1898,Joe McQue,2,Defender,24.8
1151,1897-1898,Tommy Robertson,2,Right-winger,21.0
1152,1897-1898,Johnny Walker,2,Striker,23.6
1153,1897-1898,Joe Lumsden,2,Midfielder,23.0
1154,1897-1898,Bobby Marshall,2,Midfielder,22.0
1155,1897-1898,John McCartney,2,Defender,28.0
1156,1897-1898,Jack Cox,1,Midfielder,20.0
1157,1897-1898,Patrick Finnerhan,1,Striker,25.9
1158,1897-1898,Fred Geary,1,Striker,30.0
1159,1897-1898,Abraham Hartley,1,Striker,25.9
1160,1897-1898,Hugh Morgan,1,Striker,23.4
1161,1896-1897,George Allan,15,Striker,21.4
1162,1896-1897,Frank Becton,5,Striker,23.2
1163,1896-1897,Malcolm McVean,5,Striker,25.8
1164,1896-1897,Bill Michael,5,Striker,23.0
1165,1896-1897,Harry Bradshaw,4,Midfielder,23.4
1166,1896-1897,David Hannah,2,Striker,29.7
1167,1896-1897,Robert Neill,2,Defender,21.3
1168,1896-1897,Jimmy Ross,2,Striker,30.8
1169,1896-1897,Fred Geary,2,Striker,29.0
1170,1896-1897,Archie Goldie,1,Defender,23.0
1171,1896-1897,John McCartney,1,Defender,27.0
1172,1894-1895,Harry Bradshaw,17,Striker,21.4
1173,1894-1895,Jimmy Ross,12,Striker,28.8
1174,1894-1895,David Hannah,6,Striker,27.7
1175,1894-1895,Malcolm McVean,5,Striker,23.8
1176,1894-1895,Frank Becton,4,Striker,21.2
1177,1894-1895,Neil Kerr,3,Midfielder,23.7
1178,1894-1895,Hugh McQueen,2,Midfielder,27.3
1179,1894-1895,Joe McQue,1,Defender,21.8
1180,1894-1895,Patrick Gordon,1,Midfielder,24.9
